id;company_name;business_register_number;unique_identification_number;business_domicile;business_email;business_phone;country;city;business_logo;business_logo_content_type;map_locator;map_locator_content_type
1;evenly class;child;ferociously phew vet;bruised;"*)@txBRps.OB";amid;MALI;Chandler;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;free colonisation;restoration;or;swelter valiantly;"8?K+@qI.>cl|-";aw loyally impractical;MALI;Elnaview;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;zowie ajar abaft;within putter cure;ick now jagged;now scented protest;"jOF@DY.$'Xj";yesterday;MALI;East Gradyland;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;zowie boo elementary;needily;worse attic;circa obnoxiously zowie;"b'KO2@Fvm.^~kk";uh-huh pasteurize impractical;COTE_IVOIRE;Coon Rapids;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;presage;mmm;personify brr lazily;documentation until;"}.S+@].se";boo;COTE_IVOIRE;North Jerald;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;aside morning;seriously diligently;jolly;repackage whether;"V]*#d@7.Nf&FNq";couch kindly anti;COTE_IVOIRE;Elmerberg;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;ham indeed;amidst depict;aha;trivial;"G+@k6.9._";highly round given;COTE_IVOIRE;North Marcellus;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;watery junior ha;woot;fooey;lest underplay;"Th@M#tyeD._";underneath;MALI;Aiyanafield;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;innocently beneath;weird;zany;cheat;"<=PZw*@|&r.:::}";during where tenderly;CAMEROON;Schmidtmouth;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;upbraid;uneven;how;milkshake impulse;"[0*5q@K.8VwgET";gee before officially;CAMEROON;Knoxville;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
