id;street_address;postal_code;city;state_province
1;rate where;zowie studious while;Burnsville;zoo victimise
2;excluding;bond;Fort Reidcester;once
3;or;pesky iridescence;North Porter;proud slipper
4;squeak;fooey;Sauerfield;feisty number
5;muzzle;herring aboard worldly;Josianneshire;within
6;lucky brr silver;sweetly aha excuse;South Guytown;tenderly morbidity
7;bah;upon;West Vaughnbury;pace pish till
8;while nor;alcove uncurl;Littlechester;drafty
9;gadzooks;save unrealistic gee;Fort Ruben;up
10;likewise;moulder some marriage;Port Ophelia;erase
